"IQ_self" "IQ_friend" "harmony" "VI_self" "VI_partner" "distance" "age" "int" "liking"
"605" 130 113 3.5 4 4 5 25 2 3
"606" 122 119 3 5 5 4 54 1 5
"607" 124 113 2 5 5 4 44 3 5
"608" 127 126 5 4 4 4 55 5 5
"609" 118 123 6 6 5 4 40 2 4
"610" 111 111 4 3 3 3 74 1 3
"611" 113 110 3.5 4 4 3 29 2 4
"612" 106 105 4.5 6 6 5 29 1 3
"613" 115 113 2 3 3 5 43 3 5
"614" 105 110 2.5 5 3 2 48 4 3
"615" 115 115 2 3 3 4 42 1 5
"616" 110 112 3.5 4 3 4 60 2 4
"617" 115 117 5 3 4 4 21 2 4
"618" 121 116 2 3 4 5 59 3 6
"619" 114 114 3 4 5 4 49 1 3
"620" 117 117 3 4 3 5 32 4 4
"621" 116 119 4 5 5 4 23 1 4
"622" 115 112 2.5 5 4 5 51 4 5
"623" 124 119 5.5 4 2 3 38 1 4
"624" 116 116 3.5 4 3 5 22 2 4
"625" 121 113 2 5 4 4 57 5 6
"626" 109 113 5 4 4 4 62 6 6
"627" 114 117 2.5 4 4 4 39 6 3
"628" 113 117 5 4 6 5 72 2 6
"629" 114 113 3 4 3 3 39 4 3
"630" 109 117 5 4 5 5 19 2 3
"631" 110 110 5 5 3 4 20 4 4
"632" 111 118 4.5 4 5 4 27 2 4
"633" 124 119 2.5 4 4 3 35 3 4
"634" 113 117 3.5 5 5 5 37 5 4
"635" 108 112 4.5 4 5 3 46 3 5
"636" 115 123 3.5 3 5 4 37 3 4
"637" 109 119 2.5 5 4 4 41 4 4
"638" 114 113 5.5 5 5 3 33 4 3
"639" 111 111 4 5 5 3 46 3 5
"640" 110 114 3.5 2 4 3 52 4 3
"641" 108 112 3.5 4 4 7 26 1 3
"642" 112 107 3.5 4 5 3 28 5 4
"643" 122 127 3 3 2 4 20 5 3
"644" 114 117 3.5 3 3 5 36 5 3
"645" 118 122 2.5 5 4 5 36 6 3
"646" 118 115 4.5 3 3 3 34 2 4
"647" 112 107 4 4 3 3 36 3 4
"648" 125 120 2.5 4 4 5 34 3 4
"649" 117 118 2.5 3 4 1 34 8 4
"650" 116 115 3 4 5 2 38 2 5
"651" 119 110 5.5 4 4 6 54 6 3
"652" 104 116 5.5 4 4 5 37 2 1
"653" 111 107 3.5 6 4 6 29 2 3
"654" 110 109 3.5 2 4 5 25 9 4
"655" 118 117 3.5 5 5 4 48 3 5
"656" 109 114 4.5 4 4 5 55 2 4
"657" 120 117 3 5 4 5 48 4 5
"658" 128 126 4.5 3 4 4 37 1 4
"659" 115 112 3 4 5 3 30 2 3
"660" 124 119 3.5 4 4 4 45 2 5
"661" 127 127 4 4 4 5 49 2 5
"662" 109 113 3.5 3 5 5 41 10 3
"663" 106 109 1 5 4 4 18 2 4
"664" 115 110 1 5 4 4 24 4 4
"665" 104 113 4.5 4 4 5 20 3 3
"666" 117 118 2.5 2 4 5 40 3 5
"667" 106 117 3.5 3 3 4 45 3 2
"668" 116 114 3 4 4 5 29 4 4
"669" 107 115 2.5 3 2 5 85 4 7
"670" 114 116 4.5 4 4 3 24 2 3
"671" 114 110 3.5 5 4 4 21 2 3
"672" 114 110 3 4 4 4 54 4 3
"673" 112 115 7 4 5 4 41 1 4
"674" 109 115 3.5 3 3 3 27 7 4
"675" 108 114 4.5 3 3 3 33 4 2
"676" 117 105 3 4 3 6 35 6 5
"677" 117 115 2.5 6 4 3 51 3 4
"678" 112 114 3.5 2 3 4 38 3 5
"679" 112 116 3 3 4 4 50 4 3
"680" 106 113 4 3 4 4 22 5 3
"681" 113 120 2.5 5 4 6 21 2 3
"682" 114 114 3 5 3 4 28 3 2
"683" 113 117 5.5 6 5 4 22 4 4
"684" 119 125 5.5 5 5 5 31 3 4
"685" 122 106 1.5 5 4 6 31 8 4
"686" 119 110 4.5 6 7 5 28 2 4
"687" 124 121 4.5 3 4 5 54 3 5
"688" 114 118 4.5 4 3 4 22 2 4
"689" 115 128 2.5 5 5 3 19 3 1
"690" 107 114 2.5 4 4 4 37 1 4
"691" 118 117 5.5 2 4 3 65 6 6
"692" 115 108 4.5 5 5 3 21 2 2
"693" 113 120 3.5 5 6 4 48 3 5
"694" 118 116 4.5 2 2 5 22 1 4
"695" 122 120 3.5 5 4 5 25 4 4
"696" 119 125 1.5 4 5 4 59 1 5
"697" 107 108 5 4 4 5 32 3 5
"698" 116 115 3.5 4 5 4 19 3 4
"699" 115 117 3 5 4 4 52 5 5
"700" 116 116 2.5 4 3 4 22 2 4
"701" 113 114 4 3 5 5 47 7 5
"702" 114 112 3 5 3 1 28 4 3
"703" 115 112 4.5 4 4 3 23 4 3
"704" 129 111 2 4 3 4 35 3 4
"705" 119 118 4 4 4 5 47 4 3
"706" 113 115 5.5 4 5 3 27 2 4
"707" 115 119 4.5 4 5 3 36 3 4
"708" 124 109 2 3 3 3 24 3 4
"709" 116 111 4 5 4 5 23 5 4
"710" 106 110 3.5 4 3 4 39 1 3
"711" 117 124 4 4 5 4 42 3 3
"712" 114 106 3.5 5 4 3 59 3 4
"713" 108 111 2.5 4 4 2 45 1 4
"714" 102 112 4 5 3 5 20 3 3
"715" 115 112 4 4 4 4 18 3 4
"716" 112 125 4.5 5 3 5 58 4 4
"717" 114 119 5 5 3 6 36 4 4
"718" 117 113 3 5 5 5 30 1 4
"719" 121 116 2.5 3 5 5 45 6 5
"720" 109 111 4.5 4 3 3 58 2 6
"721" 108 117 4 4 5 5 70 5 3
"722" 116 118 3 7 5 6 27 5 2
"723" 114 114 2.5 3 5 4 20 1 4
"724" 114 116 4 4 3 3 48 4 5
"725" 107 122 4 4 4 2 41 4 4
"726" 115 110 3.5 5 4 4 21 3 4
"727" 105 114 3 4 2 3 39 2 4
"728" 129 121 4.5 4 4 4 19 3 3
"729" 113 106 4.5 4 3 4 20 2 4
"730" 113 115 2.5 3 4 5 25 1 4
"731" 126 123 5 4 4 4 44 2 5
"732" 114 113 3.5 4 4 4 54 7 2
"733" 125 114 2.5 3 5 4 20 4 3
"734" 115 114 4.5 3 4 5 48 1 5
"735" 113 115 2.5 4 5 6 31 2 4
"736" 115 111 4 5 4 3 19 1 4
"737" 110 118 3.5 5 5 4 49 2 3
"738" 113 113 4 4 4 2 30 4 3
"739" 129 119 3 4 5 6 54 7 5
"740" 112 112 2.5 3 3 4 61 3 6
"741" 112 109 2.5 4 6 4 26 2 4
"742" 113 108 3 4 4 2 40 4 4
"743" 110 110 2 2 2 4 47 6 3
"744" 115 111 3 5 4 5 25 4 4
"745" 110 104 3 4 2 5 54 1 1
"746" 113 113 3 3 3 3 27 5 4
"747" 120 126 2.5 3 3 4 49 3 4
"748" 112 111 2 5 4 4 46 4 5
"749" 114 116 2.5 4 3 3 24 1 4
"750" 120 113 3 4 3 3 40 2 5
"751" 114 113 3.5 4 5 5 50 1 5
"752" 114 110 3.5 4 4 6 51 3 5
"753" 103 111 4 4 4 5 44 4 2
"754" 120 119 3 6 3 5 35 4 3
"755" 116 113 3 4 5 6 28 2 4
"756" 117 118 3.5 3 4 3 38 2 3
"757" 115 114 3.5 3 4 5 43 1 3
"758" 112 113 5 1 4 4 63 2 4
"759" 115 116 2 4 3 4 53 4 2
"760" 112 120 2.5 4 5 4 30 2 4
"761" 112 105 4 4 5 4 46 1 5
"762" 117 117 4.5 5 5 4 35 4 2
"763" 122 115 2.5 4 5 4 44 5 5
"764" 111 107 3.5 4 4 5 49 5 6
"765" 118 115 3 5 5 5 47 2 5
"766" 113 120 5 4 5 4 51 5 3
"767" 111 108 3 5 3 4 27 1 4
"768" 114 123 5.5 5 4 4 20 4 3
"769" 118 108 3.5 4 4 4 39 2 4
"770" 119 120 4 4 6 4 61 4 5
"771" 114 119 3 5 5 4 43 7 5
"772" 114 124 3 4 5 4 69 3 5
"773" 110 115 3.5 3 3 3 34 2 3
"774" 120 110 2 4 4 5 19 6 3
"775" 130 116 1 4 5 6 27 4 3
"776" 118 113 4.5 3 3 4 46 3 3
"777" 109 111 3 3 4 4 18 4 4
"778" 115 110 4 5 5 5 20 4 4
"779" 114 116 2 3 3 6 52 2 5
"780" 111 119 3 3 4 4 39 2 4
"781" 118 119 5.5 5 4 4 37 4 3
"782" 121 119 3 3 4 2 36 5 3
"783" 110 106 4.5 5 4 4 29 7 5
"784" 120 114 3.5 5 6 6 62 3 3
"785" 118 113 3.5 2 3 4 24 3 4
"786" 112 118 5 4 3 4 40 4 4
"787" 116 118 3 5 4 3 32 2 4
"788" 115 112 3.5 4 4 6 60 3 3
"789" 111 110 4.5 4 3 4 26 4 4
"790" 111 113 5 4 4 4 39 2 5
"791" 120 117 4 5 6 5 52 2 5
"792" 115 124 3.5 3 4 6 60 5 5
"793" 113 102 4 3 4 3 24 5 3
"794" 116 116 4.5 4 4 5 56 2 3
"795" 119 116 3 4 4 4 24 2 4
"796" 113 116 3 5 4 4 42 6 3
"797" 115 118 3.5 3 2 4 36 3 4
"798" 107 109 3.5 4 4 5 25 7 4
"799" 106 110 4.5 3 4 4 33 2 3
"800" 117 122 1.5 4 5 5 22 1 3
